# T_K Q_known Q_missing Q_estimated missing_fraction
1.76434619e+02 1.31788149e+04 1.66024757e-09 1.31788149e+04 1.25978518e-13
1.80190283e+02 1.37123079e+04 3.38495459e-09 1.37123079e+04 2.46855206e-13
1.84025891e+02 1.42692366e+04 6.80277305e-09 1.42692366e+04 4.76744009e-13
1.87943145e+02 1.48506723e+04 1.34803970e-08 1.48506723e+04 9.07729743e-13
1.91943784e+02 1.54577340e+04 2.63469684e-08 1.54577340e+04 1.70445218e-12
1.96029583e+02 1.60915895e+04 5.08036529e-08 1.60915895e+04 3.15715566e-12
2.00202353e+02 1.67534581e+04 9.66758496e-08 1.67534581e+04 5.77050118e-12
2.04463947e+02 1.74446118e+04 1.81601622e-07 1.74446118e+04 1.04101842e-11
2.08816254e+02 1.81663778e+04 3.36835239e-07 1.81663778e+04 1.85416841e-11
2.13261207e+02 1.89201404e+04 6.17058521e-07 1.89201404e+04 3.26138447e-11
2.17800777e+02 1.97073428e+04 1.11675729e-06 1.97073428e+04 5.66670656e-11
2.22436979e+02 2.05294895e+04 1.99721617e-06 2.05294895e+04 9.72852329e-11
2.27171868e+02 2.13881482e+04 3.53047489e-06 2.13881483e+04 1.65066879e-10
2.32007547e+02 2.22849521e+04 6.17004948e-06 2.22849521e+04 2.76870664e-10
2.36946160e+02 2.32216016e+04 1.06633860e-05 2.32216016e+04 4.59201141e-10
2.41989898e+02 2.41998669e+04 1.82286252e-05 2.41998670e+04 7.53253114e-10
2.47140999e+02 2.52215900e+04 3.08293409e-05 2.52215901e+04 1.22233930e-09
2.52401749e+02 2.62886866e+04 5.15968604e-05 2.62886866e+04 1.96270210e-09
2.57774482e+02 2.74031480e+04 8.54724548e-05 2.74031481e+04 3.11907430e-09
2.63261581e+02 2.85670438e+04 1.40173564e-04 2.85670439e+04 4.90682777e-09
2.68865480e+02 2.97825230e+04 2.27632534e-04 2.97825233e+04 7.64315808e-09
2.74588667e+02 3.10518166e+04 3.66117228e-04 3.10518170e+04 1.17905251e-08
2.80433680e+02 3.23772388e+04 5.83325688e-04 3.23772394e+04 1.80165356e-08
2.86403112e+02 3.37611891e+04 9.20858306e-04 3.37611900e+04 2.72756472e-08
2.92499613e+02 3.52061534e+04 1.44061912e-03 3.52061548e+04 4.09195247e-08
2.98725886e+02 3.67147060e+04 2.23389289e-03 3.67147083e+04 6.08446314e-08
3.05084694e+02 3.82895104e+04 3.43409859e-03 3.82895139e+04 8.96877041e-08
3.11578858e+02 3.99333205e+04 5.23454797e-03 3.99333258e+04 1.31082194e-07
3.18211260e+02 4.16489814e+04 7.91295607e-03 4.16489893e+04 1.89991551e-07
3.24984843e+02 4.34394301e+04 1.18649797e-02 4.34394420e+04 2.73138402e-07
3.31902610e+02 4.53076958e+04 1.76497228e-02 4.53077135e+04 3.89552273e-07
3.38967632e+02 4.72569002e+04 2.60509668e-02 4.72569262e+04 5.51262404e-07
3.46183044e+02 4.92902569e+04 3.81588955e-02 4.92902951e+04 7.74166505e-07
3.53552046e+02 5.14110715e+04 5.54783063e-02 5.14111269e+04 1.07911088e-06
3.61077907e+02 5.36227400e+04 8.00707791e-02 5.36228201e+04 1.49322208e-06
3.68763967e+02 5.59287484e+04 1.14740035e-01 5.59288632e+04 2.05153526e-06
3.76613636e+02 5.83326705e+04 1.63271802e-01 5.83328338e+04 2.79896914e-06
3.84630397e+02 6.08381661e+04 2.30741943e-01 6.08383968e+04 3.79270255e-06
3.92817805e+02 6.34489785e+04 3.23909437e-01 6.34493024e+04 5.10501180e-06
4.01179495e+02 6.61689319e+04 4.51714055e-01 6.61693836e+04 6.82663234e-06
4.09719174e+02 6.90019278e+04 6.25902272e-01 6.90025537e+04 9.07071171e-06
4.18440634e+02 7.19519413e+04 8.61809172e-01 7.19528031e+04 1.19774232e-05
4.27347742e+02 7.50230166e+04 1.17932872e+00 7.50241959e+04 1.57193116e-05
4.36444450e+02 7.82192627e+04 1.60410998e+00 7.82208668e+04 2.05074432e-05
4.45734795e+02 8.15448476e+04 2.16902259e+00 8.15470167e+04 2.65984297e-05
4.55222898e+02 8.50039929e+04 2.91594075e+00 8.50069088e+04 3.43023972e-05
4.64912969e+02 8.86009670e+04 3.89790187e+00 8.86048649e+04 4.39919623e-05
4.74809308e+02 9.23400788e+04 5.18170282e+00 9.23452605e+04 5.61122768e-05
4.84916304e+02 9.62256702e+04 6.85100413e+00 9.62325212e+04 7.11921920e-05
4.95238441e+02 1.00262108e+05 9.01002029e+00 1.00271118e+05 8.98565856e-05
5.05780301e+02 1.04453776e+05 1.17878820e+01 1.04465564e+05 1.12839883e-04
5.16546558e+02 1.08805065e+05 1.53437640e+01 1.08820409e+05 1.41000794e-04
5.27541991e+02 1.13320367e+05 1.98728810e+01 1.13340240e+05 1.75338265e-04
5.38771478e+02 1.18004060e+05 2.56134596e+01 1.18029674e+05 2.17008646e-04
5.50240000e+02 1.22860504e+05 3.28548057e+01 1.22893358e+05 2.67344030e-04
5.61952646e+02 1.27894024e+05 4.19465886e+01 1.27935971e+05 3.27871734e-04
5.73914613e+02 1.33108907e+05 5.33094745e+01 1.33162216e+05 4.00334841e-04
5.86131207e+02 1.38509382e+05 6.74472444e+01 1.38576829e+05 4.86713722e-04
5.98607849e+02 1.44099617e+05 8.49605373e+01 1.44184578e+05 5.89248438e-04
6.11350074e+02 1.49883703e+05 1.06562364e+02 1.49990265e+05 7.10461866e-04
6.24363536e+02 1.55865641e+05 1.33095536e+02 1.55998736e+05 8.53183426e-04
6.37654007e+02 1.62049333e+05 1.65552165e+02 1.62214885e+05 1.02057320e-03
6.51227386e+02 1.68438570e+05 2.05095368e+02 1.68643665e+05 1.21614629e-03
6.65089693e+02 1.75037017e+05 2.53083338e+02 1.75290100e+05 1.44379710e-03
6.79247079e+02 1.81848205e+05 3.11095915e+02 1.82159301e+05 1.70782339e-03
6.93705826e+02 1.88875517e+05 3.80963797e+02 1.89256481e+05 2.01294981e-03
7.08472348e+02 1.96122174e+05 4.64800519e+02 1.96586975e+05 2.36435053e-03
7.23553196e+02 2.03591229e+05 5.65037332e+02 2.04156266e+05 2.76767078e-03
7.38955061e+02 2.11285549e+05 6.84461082e+02 2.11970010e+05 3.22904680e-03
7.54684778e+02 2.19207810e+05 8.26255198e+02 2.20034065e+05 3.75512399e-03
7.70749324e+02 2.27360483e+05 9.94043880e+02 2.28354527e+05 4.35307279e-03
7.87155827e+02 2.35745825e+05 1.19193955e+03 2.36937765e+05 5.03060183e-03
8.03911565e+02 2.44365867e+05 1.42459365e+03 2.45790461e+05 5.79596800e-03
8.21023974e+02 2.53222408e+05 1.69725076e+03 2.54919659e+05 6.65798303e-03
8.38500645e+02 2.62317004e+05 2.01580622e+03 2.64332810e+05 7.62601594e-03
8.56349331e+02 2.71650960e+05 2.38686704e+03 2.74037827e+05 8.70999112e-03
8.74577953e+02 2.81225325e+05 2.81781628e+03 2.84043141e+05 9.92038136e-03
8.93194597e+02 2.91040880e+05 3.31688079e+03 2.94357760e+05 1.12681955e-02
9.12207522e+02 3.01098137e+05 3.89320227e+03 3.04991340e+05 1.27649601e-02
9.31625165e+02 3.11397334e+05 4.55691165e+03 3.15954245e+05 1.44226948e-02
9.51456141e+02 3.21938423e+05 5.31920655e+03 3.27257629e+05 1.62538810e-02
9.71709247e+02 3.32721075e+05 6.19243200e+03 3.38913507e+05 1.82714229e-02
9.92393469e+02 3.43744673e+05 7.19016405e+03 3.50934837e+05 2.04886015e-02
1.01351799e+03 3.55008310e+05 8.32729630e+03 3.63335606e+05 2.29190207e-02
1.03509217e+03 3.66510787e+05 9.62012919e+03 3.76130916e+05 2.55765447e-02
1.05712559e+03 3.78250614e+05 1.10864620e+04 3.89337076e+05 2.84752279e-02
1.07962802e+03 3.90226010e+05 1.27456871e+04 4.02971697e+05 3.16292364e-02
1.10260944e+03 4.02434904e+05 1.46188869e+04 4.17053791e+05 3.50527610e-02
1.12608007e+03 4.14874937e+05 1.67289327e+04 4.31603870e+05 3.87599228e-02
1.15005029e+03 4.27543464e+05 1.91005857e+04 4.46644050e+05 4.27646707e-02
1.17453076e+03 4.40437559e+05 2.17606001e+04 4.62198159e+05 4.70806724e-02
1.19953233e+03 4.53554019e+05 2.47378276e+04 4.78291847e+05 5.17211986e-02
1.22506609e+03 4.66889369e+05 2.80633237e+04 4.94952693e+05 5.66990020e-02
1.25114338e+03 4.80439867e+05 3.17704559e+04 5.12210323e+05 6.20261921e-02
1.27777575e+03 4.94201512e+05 3.58950127e+04 5.30096525e+05 6.77141068e-02
1.30497504e+03 5.08170051e+05 4.04753145e+04 5.48645365e+05 7.37731821e-02
