# ['MStar', 'MRate', 'Rdisc', 'cavity_ang', 'incl']
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.34725937 0.00064939 478.70808469 63.17638221 27.57369543
20.33701132 0.00064939 478.83019908 63.22164011 27.55923628
20.33701132 0.00064939 478.83019908 63.22164011 27.55923628
20.33701132 0.00064939 478.83019908 63.22164011 27.55923628
20.33701132 0.00064939 478.83019908 63.22164011 27.55923628
20.33701132 0.00064939 478.83019908 63.22164011 27.55923628
20.42587414 0.00065077 479.54354806 63.13566320 27.59042023
21.13026893 0.00066961 482.15150224 62.85278900 27.49495609
21.13026893 0.00066961 482.15150224 62.85278900 27.49495609
21.13026893 0.00066961 482.15150224 62.85278900 27.49495609
21.13026893 0.00066961 482.15150224 62.85278900 27.49495609
21.13026893 0.00066961 482.15150224 62.85278900 27.49495609
21.15740999 0.00067057 482.17416310 62.99941208 27.41278425
21.15740999 0.00067057 482.17416310 62.99941208 27.41278425
21.15740999 0.00067057 482.17416310 62.99941208 27.41278425
21.15740999 0.00067057 482.17416310 62.99941208 27.41278425
21.21524005 0.00067308 482.36860686 63.09632404 27.33538946
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
22.32133261 0.00068809 490.19690882 63.41661519 26.93275224
23.29806685 0.00072268 490.44074638 62.67197456 26.65115246
23.29806685 0.00072268 490.44074638 62.67197456 26.65115246
23.29806685 0.00072268 490.44074638 62.67197456 26.65115246
23.47035994 0.00072760 490.54281523 62.60999489 26.56733717
23.43062578 0.00072950 490.70645885 62.63934594 26.55339046
23.43062578 0.00072950 490.70645885 62.63934594 26.55339046
23.43062578 0.00072950 490.70645885 62.63934594 26.55339046
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.43218888 0.00072946 490.68310937 62.62444954 26.56703622
23.42964427 0.00073092 490.25043547 62.57936571 26.56025918
23.42964427 0.00073092 490.25043547 62.57936571 26.56025918
23.42964427 0.00073092 490.25043547 62.57936571 26.56025918
23.42964427 0.00073092 490.25043547 62.57936571 26.56025918
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.47958739 0.00072727 489.95020273 62.55618191 26.57995055
23.53126701 0.00072937 489.55551297 62.57950022 26.50889282
23.53126701 0.00072937 489.55551297 62.57950022 26.50889282
