# ['MStar', 'MRate', 'Rdisc']
20.20611111 0.00202282 149.59522975
20.20611111 0.00202282 149.59522975
20.88542286 0.00197693 146.95469605
20.92656661 0.00198585 153.32256647
19.96329490 0.00192696 178.77253656
19.96329490 0.00192696 178.77253656
16.85878639 0.00165437 291.66700854
16.85878639 0.00165437 291.66700854
16.85878639 0.00165437 291.66700854
16.85878639 0.00165437 291.66700854
16.85878639 0.00165437 291.66700854
16.85878639 0.00165437 291.66700854
16.85878639 0.00165437 291.66700854
15.94149547 0.00160796 313.71435535
23.75384708 0.00122491 221.18196527
20.36855551 0.00113627 293.24131646
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.61047475 0.00055069 318.18416722
22.12704162 0.00055780 329.46052040
22.11793508 0.00059195 330.80686445
22.11793508 0.00059195 330.80686445
22.11793508 0.00059195 330.80686445
22.11793508 0.00059195 330.80686445
22.11793508 0.00059195 330.80686445
22.11793508 0.00059195 330.80686445
22.11793508 0.00059195 330.80686445
21.83500553 0.00059424 336.40230300
22.77586321 0.00067853 351.91921006
22.77586321 0.00067853 351.91921006
22.77308492 0.00068660 353.47171791
22.77308492 0.00068660 353.47171791
22.77308492 0.00068660 353.47171791
22.94996630 0.00071515 355.18267366
22.94996630 0.00071515 355.18267366
22.94996630 0.00071515 355.18267366
22.94996630 0.00071515 355.18267366
22.94996630 0.00071515 355.18267366
22.80891775 0.00070801 363.41151305
22.80891775 0.00070801 363.41151305
22.80891775 0.00070801 363.41151305
22.80891775 0.00070801 363.41151305
22.80891775 0.00070801 363.41151305
22.80891775 0.00070801 363.41151305
22.80891775 0.00070801 363.41151305
24.88049364 0.00075631 412.72107210
24.88049364 0.00075631 412.72107210
24.88049364 0.00075631 412.72107210
24.88049364 0.00075631 412.72107210
24.88049364 0.00075631 412.72107210
26.00436871 0.00081421 427.72909051
26.00436871 0.00081421 427.72909051
26.00436871 0.00081421 427.72909051
26.00436871 0.00081421 427.72909051
26.00436871 0.00081421 427.72909051
27.41457568 0.00082091 461.90933200
29.70218832 0.00084005 475.71267803
29.70218832 0.00084005 475.71267803
29.70218832 0.00084005 475.71267803
29.70218832 0.00084005 475.71267803
30.65673658 0.00084529 496.08690151
31.75390568 0.00085131 519.50527572
33.17205285 0.00084191 528.36509288
33.45690441 0.00083979 536.71795289
33.45690441 0.00083979 536.71795289
33.45690441 0.00083979 536.71795289
33.45690441 0.00083979 536.71795289
33.45690441 0.00083979 536.71795289
33.72360941 0.00083225 549.08168416
33.72360941 0.00083225 549.08168416
34.38872590 0.00079177 571.18408299
34.38872590 0.00079177 571.18408299
34.98358919 0.00078449 599.49261509
36.02303904 0.00077330 622.20857271
36.02303904 0.00077330 622.20857271
37.19442604 0.00072372 646.10261142
37.18864493 0.00072355 646.05932137
37.18864493 0.00072355 646.05932137
37.85576208 0.00076844 666.50762879
37.55334353 0.00077195 662.58455097
37.46973867 0.00077561 660.46335977
37.46973867 0.00077561 660.46335977
37.46973867 0.00077561 660.46335977
37.46973867 0.00077561 660.46335977
37.46973867 0.00077561 660.46335977
37.46973867 0.00077561 660.46335977
37.21892652 0.00077355 655.92528075
37.21892652 0.00077355 655.92528075
37.51977071 0.00079088 654.58184948
37.51977071 0.00079088 654.58184948
37.81550071 0.00079493 657.72563736
37.82020867 0.00079374 657.50804034
38.30034446 0.00080447 654.94768150
38.30034446 0.00080447 654.94768150
38.30034446 0.00080447 654.94768150
38.30034446 0.00080447 654.94768150
38.30034446 0.00080447 654.94768150
38.30034446 0.00080447 654.94768150
38.30034446 0.00080447 654.94768150
38.46593207 0.00080171 655.58576432
38.46576072 0.00080071 655.69649340
38.46576072 0.00080071 655.69649340
38.46576072 0.00080071 655.69649340
38.46576072 0.00080071 655.69649340
38.46576072 0.00080071 655.69649340
38.46576072 0.00080071 655.69649340
38.46576072 0.00080071 655.69649340
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
39.22406922 0.00082101 652.68630380
38.78805206 0.00082383 652.22101321
38.78805206 0.00082383 652.22101321
38.80257625 0.00082385 652.23872960
38.80257625 0.00082385 652.23872960
38.80257625 0.00082385 652.23872960
38.80532700 0.00082393 652.13655688
